Term,NaturalCourt,Docket,CaseName,DecisionDate,Justice,VoteDescription,ActualVote,WinningParty
2022,1710,21-454,SACKETT v. ENVIRONMENTAL PROTECTION AGENCY,5/25/2023,JGRoberts,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-454,SACKETT v. ENVIRONMENTAL PROTECTION AGENCY,5/25/2023,CThomas,regular concurrence,Petitioner,Petitioner/Appellant won
2022,1710,21-454,SACKETT v. ENVIRONMENTAL PROTECTION AGENCY,5/25/2023,SAAlito,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-454,SACKETT v. ENVIRONMENTAL PROTECTION AGENCY,5/25/2023,SSotomayor,special concurrence,Petitioner,Petitioner/Appellant won
2022,1710,21-454,SACKETT v. ENVIRONMENTAL PROTECTION AGENCY,5/25/2023,EKagan,special concurrence,Petitioner,Petitioner/Appellant won
2022,1710,21-454,SACKETT v. ENVIRONMENTAL PROTECTION AGENCY,5/25/2023,NMGorsuch,regular concurrence,Petitioner,Petitioner/Appellant won
2022,1710,21-454,SACKETT v. ENVIRONMENTAL PROTECTION AGENCY,5/25/2023,BMKavanaugh,special concurrence,Petitioner,Petitioner/Appellant won
2022,1710,21-454,SACKETT v. ENVIRONMENTAL PROTECTION AGENCY,5/25/2023,ACBarrett,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-454,SACKETT v. ENVIRONMENTAL PROTECTION AGENCY,5/25/2023,KBJackson,special concurrence,Petitioner,Petitioner/Appellant won
2022,1710,22O145,DELAWARE v. PENNSYLVANIA AND WISCONSIN,2/28/2023,JGRoberts,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,22O145,DELAWARE v. PENNSYLVANIA AND WISCONSIN,2/28/2023,CThomas,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,22O145,DELAWARE v. PENNSYLVANIA AND WISCONSIN,2/28/2023,SAAlito,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,22O145,DELAWARE v. PENNSYLVANIA AND WISCONSIN,2/28/2023,SSotomayor,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,22O145,DELAWARE v. PENNSYLVANIA AND WISCONSIN,2/28/2023,EKagan,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,22O145,DELAWARE v. PENNSYLVANIA AND WISCONSIN,2/28/2023,NMGorsuch,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,22O145,DELAWARE v. PENNSYLVANIA AND WISCONSIN,2/28/2023,BMKavanaugh,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,22O145,DELAWARE v. PENNSYLVANIA AND WISCONSIN,2/28/2023,ACBarrett,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,22O145,DELAWARE v. PENNSYLVANIA AND WISCONSIN,2/28/2023,KBJackson,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-432,ARELLANO v. MCDONOUGH,1/23/2023,JGRoberts,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-432,ARELLANO v. MCDONOUGH,1/23/2023,CThomas,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-432,ARELLANO v. MCDONOUGH,1/23/2023,SAAlito,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-432,ARELLANO v. MCDONOUGH,1/23/2023,SSotomayor,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-432,ARELLANO v. MCDONOUGH,1/23/2023,EKagan,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-432,ARELLANO v. MCDONOUGH,1/23/2023,NMGorsuch,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-432,ARELLANO v. MCDONOUGH,1/23/2023,BMKavanaugh,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-432,ARELLANO v. MCDONOUGH,1/23/2023,ACBarrett,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-432,ARELLANO v. MCDONOUGH,1/23/2023,KBJackson,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-1086,ALLEN v. MILLIGAN,6/8/2023,JGRoberts,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-1086,ALLEN v. MILLIGAN,6/8/2023,CThomas,dissent,Petitioner,Respondent/Appellee won
