Term,NaturalCourt,Docket,CaseName,DecisionDate,Justice,VoteDescription,WinningParty
2023,1710,22-340,PULSIFER v. UNITED STATES,3/15/2024,JGRoberts,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-340,PULSIFER v. UNITED STATES,3/15/2024,CThomas,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-340,PULSIFER v. UNITED STATES,3/15/2024,SAAlito,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-340,PULSIFER v. UNITED STATES,3/15/2024,SSotomayor,Dissent,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-340,PULSIFER v. UNITED STATES,3/15/2024,EKagan,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-340,PULSIFER v. UNITED STATES,3/15/2024,NMGorsuch,Dissent,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-340,PULSIFER v. UNITED STATES,3/15/2024,BMKavanaugh,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-340,PULSIFER v. UNITED STATES,3/15/2024,ACBarrett,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-340,PULSIFER v. UNITED STATES,3/15/2024,KBJackson,Dissent,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-448,"CONSUMER FINANCIAL PROTECTION BUREAU v. COMMUNITY FINANCIAL SERVICES ASSOCIATION OF AMERICA, LIMITED",5/16/2024,JGRoberts,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-448,"CONSUMER FINANCIAL PROTECTION BUREAU v. COMMUNITY FINANCIAL SERVICES ASSOCIATION OF AMERICA, LIMITED",5/16/2024,CThomas,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-448,"CONSUMER FINANCIAL PROTECTION BUREAU v. COMMUNITY FINANCIAL SERVICES ASSOCIATION OF AMERICA, LIMITED",5/16/2024,SAAlito,Dissent,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-448,"CONSUMER FINANCIAL PROTECTION BUREAU v. COMMUNITY FINANCIAL SERVICES ASSOCIATION OF AMERICA, LIMITED",5/16/2024,SSotomayor,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-448,"CONSUMER FINANCIAL PROTECTION BUREAU v. COMMUNITY FINANCIAL SERVICES ASSOCIATION OF AMERICA, LIMITED",5/16/2024,EKagan,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-448,"CONSUMER FINANCIAL PROTECTION BUREAU v. COMMUNITY FINANCIAL SERVICES ASSOCIATION OF AMERICA, LIMITED",5/16/2024,NMGorsuch,Dissent,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-448,"CONSUMER FINANCIAL PROTECTION BUREAU v. COMMUNITY FINANCIAL SERVICES ASSOCIATION OF AMERICA, LIMITED",5/16/2024,BMKavanaugh,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-448,"CONSUMER FINANCIAL PROTECTION BUREAU v. COMMUNITY FINANCIAL SERVICES ASSOCIATION OF AMERICA, LIMITED",5/16/2024,ACBarrett,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-448,"CONSUMER FINANCIAL PROTECTION BUREAU v. COMMUNITY FINANCIAL SERVICES ASSOCIATION OF AMERICA, LIMITED",5/16/2024,KBJackson,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-429,"ACHESON HOTELS, LLC v. LAUFER",12/5/2023,JGRoberts,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-429,"ACHESON HOTELS, LLC v. LAUFER",12/5/2023,CThomas,Special concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-429,"ACHESON HOTELS, LLC v. LAUFER",12/5/2023,SAAlito,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-429,"ACHESON HOTELS, LLC v. LAUFER",12/5/2023,SSotomayor,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-429,"ACHESON HOTELS, LLC v. LAUFER",12/5/2023,EKagan,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-429,"ACHESON HOTELS, LLC v. LAUFER",12/5/2023,NMGorsuch,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-429,"ACHESON HOTELS, LLC v. LAUFER",12/5/2023,BMKavanaugh,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-429,"ACHESON HOTELS, LLC v. LAUFER",12/5/2023,ACBarrett,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-429,"ACHESON HOTELS, LLC v. LAUFER",12/5/2023,KBJackson,Special concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-660,"MURRAY v. UBS SECURITIES, LLC",2/8/2024,JGRoberts,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
